Name,Asset class,Share class currency,ISIN,Historical yield (%),Price date,Price,Price change,Price percentage change
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,20/07/2026,2.3763,0.0045,0.1897
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,17/07/2026,2.3718,0.0048,0.2028
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,16/07/2026,2.367,-0.0005,-0.0211
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,15/07/2026,2.3675,0.0005,0.0211
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,14/07/2026,2.367,0.0099,0.42
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,13/07/2026,2.3571,-0.0016,-0.0678
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,10/07/2026,2.3587,0.0042,0.1784
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,09/07/2026,2.3545,0.0022,0.0935
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,08/07/2026,2.3523,0.0073,0.3113
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,07/07/2026,2.345,-0.0065,-0.2764
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,06/07/2026,2.3515,-0.0047,-0.1995
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,03/07/2026,2.3562,0.0118,0.5033
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,02/07/2026,2.3444,-0.0078,-0.3316
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,01/07/2026,2.3522,-0.0072,-0.3052
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,30/06/2026,2.3594,-0.0017,-0.072
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,29/06/2026,2.3611,0.0016,0.0678
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,26/06/2026,2.3595,0.0061,0.2592
Jupiter Merian Global Equity Absolute Return Fund - L GBP ACC HSC,Alternatives,GBP,IE00BLP5S577,,25/06/2026,2.3534,0.0086,0.3668
