Date,Price,Currency
31/07/2023,109.891238,GBp
28/08/2023,110.3052608,GBp
26/09/2023,108.1247424,GBp
25/10/2023,107.0758829,GBp
23/11/2023,103.87411,GBp
22/12/2023,108.6491696,GBp
20/01/2024,114.0038661,GBp
18/02/2024,113.8658594,GBp
18/03/2024,118.3649079,GBp
16/04/2024,118.2730242,GBp
15/05/2024,118.8360571,GBp
12/06/2024,119.3454661,GBp
11/07/2024,121.5171642,GBp
09/08/2024,122.8577202,GBp
07/09/2024,121.4367309,GBp
06/10/2024,123.1794533,GBp
04/11/2024,123.5816196,GBp
03/12/2024,128.8097817,GBp
01/01/2025,127.0402499,GBp
31/01/2025,133.7698322,GBp
03/02/2025,133.7698322,GBp
05/02/2025,131.8598507,GBp
11/02/2025,134.0899187,GBp
17/02/2025,134.0500725,GBp
28/02/2025,131.4304342,GBp
12/03/2025,125.380074,GBp
23/03/2025,126.7022422,GBp
27/03/2025,128.2308859,GBp
02/04/2025,124.8656962,GBp
01/05/2025,122.2203719,GBp
14/05/2025,127.3108018,GBp
22/05/2025,128.2404358,GBp
29/06/2025,129.3669956,GBp
09/07/2025,131.5285677,GBp
22/07/2025,133.0035344,GBp
11/08/2025,133.5976045,GBp
17/08/2025,134.9625826,GBp
02/09/2025,135.3136241,GBp
27/09/2025,138.4953897,GBp
06/10/2025,140.4070177,GBp
27/10/2025,141.9554199,GBp
03/11/2025,143.9855985,GBp
01/12/2025,143.3363914,GBp
08/01/2026,146.605742,GBp
26/01/2026,146.8626007,GBp
09/02/2026,145.0886289,GBp
23/02/2026,151.11,GBp
09/03/2026,148.29,GBp
31/03/2026,140.75,GBp
13/04/2026,148.7,GBp
29/04/2026,152.81,GBp
14/05/2026,155.47,GBp
01/06/2026,160.21,GBp
20/06/2026,162.01,GBp
20/07/2026,159.96,GBp
