Date,Price,Currency
24/11/2019,98.22324341,GBp
21/12/2019,98.94920893,GBp
21/01/2020,98.77497742,GBp
21/02/2020,100.6044083,GBp
21/03/2020,99.96555853,GBp
19/04/2020,96.56804139,GBp
19/05/2020,88.78570232,GBp
17/07/2020,97.23593063,GBp
16/08/2020,98.19420394,GBp
14/09/2020,98.16516713,GBp
14/10/2020,99.67517179,GBp
11/12/2020,97.90381986,GBp
10/01/2021,102.6371075,GBp
11/02/2021,103.8857675,GBp
11/03/2021,104.7859646,GBp
10/04/2021,104.26327,GBp
07/05/2021,105.2505802,GBp
07/06/2021,107.1671268,GBp
07/07/2021,107.631745,GBp
05/08/2021,108.8223261,GBp
03/09/2021,109.0546366,GBp
05/10/2021,110.5356044,GBp
03/11/2021,108.4448263,GBp
02/12/2021,110.2452177,GBp
01/01/2022,108.8804051,GBp
30/01/2022,111.0873358,GBp
02/03/2022,107.5736687,GBp
31/03/2022,105.5990432,GBp
30/04/2022,107.3703978,GBp
30/05/2022,105.0182724,GBp
28/06/2022,104.6698093,GBp
29/07/2022,101.0690239,GBp
26/08/2022,104.8440408,GBp
24/09/2022,104.2342306,GBp
24/10/2022,99.64613497,GBp
23/12/2022,103.8857675,GBp
20/01/2023,102.4047997,GBp
19/02/2023,106.586356,GBp
20/03/2023,105.7732747,GBp
20/04/2023,104.1180753,GBp
18/05/2023,104.2342306,GBp
18/06/2023,103.6534597,GBp
17/08/2023,107.486553,GBp
15/09/2023,105.8313536,GBp
14/10/2023,105.0473118,GBp
12/11/2023,103.2759572,GBp
12/01/2024,110.3904097,GBp
10/02/2024,110.9131043,GBp
09/04/2024,116.3142811,GBp
09/05/2024,114.571966,GBp
09/06/2024,115.3560078,GBp
07/07/2024,116.9240914,GBp
07/08/2024,117.6500569,GBp
04/09/2024,117.0692861,GBp
05/10/2024,118.492175,GBp
03/11/2024,118.8116012,GBp
02/12/2024,122.0058447,GBp
01/01/2025,120.7281479,GBp
31/01/2025,126.1002852,GBp
03/02/2025,125.3001804,GBp
05/02/2025,124.899834,GBp
11/02/2025,126.5000437,GBp
17/02/2025,126.5000437,GBp
28/02/2025,124.4465785,GBp
12/03/2025,119.7447133,GBp
23/03/2025,120.7452853,GBp
27/03/2025,121.9915911,GBp
02/04/2025,119.3896337,GBp
01/05/2025,117.3320533,GBp
14/05/2025,121.3366927,GBp
22/05/2025,122.1373854,GBp
29/06/2025,123.1309028,GBp
09/07/2025,124.9339311,GBp
22/07/2025,126.0362063,GBp
11/08/2025,126.5846985,GBp
17/08/2025,127.6869737,GBp
02/09/2025,127.9856168,GBp
27/09/2025,130.3853434,GBp
06/10/2025,132.0853041,GBp
27/10/2025,133.1793426,GBp
03/11/2025,134.8794819,GBp
01/12/2025,134.2727932,GBp
08/01/2026,137.0605043,GBp
26/01/2026,137.1498615,GBp
09/02/2026,136.1528227,GBp
23/02/2026,139.4,GBp
09/03/2026,137.3,GBp
31/03/2026,131.2,GBp
16/04/2026,139.41,GBp
01/05/2026,139.6,GBp
14/05/2026,142.5,GBp
01/06/2026,145.8,GBp
20/06/2026,147.2,GBp
20/07/2026,145.6,GBp
